Geneid	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9
04a2196ce1b867a0581605fc18b143b8	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
8de526d206d497870f49484115b712d1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
97848ee220190614c2a06ec1033b6c68	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6f6bbecba9c1abdaac5d01164198e5b0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
cde59fef18f8b419cc26db2d65e8314f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
532775d9f0759921755dd98ee15fe55d	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
6ac691c65cae3f58b4f5bb62354344b8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
8007ef3c431a8d491c2523019464fb2a	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
c2fb91131c1e79f49aad7eef62dfc5ee	0	0	0	0	54	0	0	41	58	0	0	0	0	42	0	24	45	49
9c4e05f623f91b998611c80f917801ef	0	51	0	39	0	19	112	75	122	0	0	0	0	0	0	0	0	0
4715d00a2315b24a3fcc1b66ae839a94	0	0	0	0	0	0	24	16	0	0	0	0	0	0	0	0	0	0
914f210990254fc87d16300fe3decffc	9	0	0	8	0	0	0	0	5	0	0	1	0	9	2	0	0	0
3470c1231d25c597b882eb40351c3ce1	0	5	0	13	0	9	0	10	10	0	0	0	0	0	0	0	0	0
e3266ce9f2ada612f4a1c3af40f65b46	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
f627ea440402e73fa28911965eb8b81e	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0
84f6c4b264ef293e55e704f9e15caa45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
6e219fe7ce3e3bfcc71839b8f0dcc76b	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
e093ffc049f6a5ead07cadb23c175fb9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
8c4d53d2e5d25711aebbfb818d19e1f4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
4130ac726089fbde740f8f32b355e7cf	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
ea0571211ed9162359a8fc145b7b760c	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	9	0
2f3e5a953df84c586ccc7702564c7d6a	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
326eed716f0cd51d556a87faa2748d9b	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
1d58f2382c7b965e923e63f4d4d2d3d5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
e8ab0154096c52340e2f43ac78a98f7a	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0
846b9c1f7e7faeed08d383e58a65fbc6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
575354180dfd9c1de671d251558caa58	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
3604237f7fcb528018d8cee38c1b6cc3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
c706ea7c4abbc9c681404d8cdd9e2ae9	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b476e06ab93a9fb0dde4e9b7d9c085d9	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4856e4423b44eda70a61acb38a3637d2	0	44	0	0	40	0	0	0	0	23	29	9	0	0	29	26	25	0
cf87e16ad2e3c193b6d8f93b2fcf272e	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
875f04bb82159e889a4c58221d737762	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0
4f53e5b426f06f3db8fb5ebde087cb7c	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8efa3f65dee562c5d39097b13922e503	64	0	0	131	0	178	0	0	0	72	0	0	62	13	0	52	60	85
af009bf2c5231b04dc63fefac867ffcc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
36bdf7125223d2023d1b21d46858b6e4	0	53	37	24	0	14	95	0	23	0	0	0	0	0	0	0	0	0
f5f63bd52387f54ecfdd2742aafca3b1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
