gene_id,Kingdom,Phylum,Class,Order,Family,Genus,Species
4d6e76953083fac49c778ff7c3d7f2ec,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
87fa928993cb053747438471d6c2c250,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
a87fa949bebeb20b22b6e4ea5777b588,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
2fd1216f3d84ad040eb24df3e8c5b5c2,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
19b8a9e21c6182358cd00dac83666682,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
63a95aff7607743eea1fcf2192be796d,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
ce732873aeb354c797ef9aa0d08e94fd,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
7e68e97a87e327438c7af2450eb558a2,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
248d4b4e854282e4362b4986d3758a72,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
c44fd921249dc0867214f88238abf8b9,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
fa33dadb2153bdf4feb00bd14c4ac0dc,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
4b518ab81cc079d0f59e9ca9031ad2d7,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
78eb89ce2067b47f1091ca5afaf25210,Bacteria,Bacteria,NA,NA,NA,NA,NA
e0fae81092895309bbca073a844a33bb,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,NA,NA
5fa59ae9da13c0fc24d5132fd9db5b7b,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,NA,NA
005e601adc049cfd38684263d79efd55,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,NA,NA
bd8962603e43f7b204b3c1ad4fbd868e,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,NA,NA
66d015fa70cb820f3ac2e2b45f5d9745,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,NA,NA
7b8c350abe5baf1f6b956fdc09e68849,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,NA,NA
94e2142692958d59ff525b1158f72965,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,NA,NA
841a0d8f1e8446af76e666c480b2267a,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,NA,NA
da908153375371b6258745a7dbe13485,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,NA,NA
29137892a6745ae082d784cc70aa54c3,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,NA,NA
6d528eb286af719b0ef712beb6b14bea,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,NA,NA
97ecc2103b6c9bf10538e7f88394b047,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,NA,NA
f6042bb08b5136d0ea98c790899e907f,Bacteria,Bacteria,Verrucomicrobiota,NA,NA,NA,NA
6ea095d8e13e4b072be5f5870e9c4e3d,Bacteria,Bacteria,NA,NA,NA,NA,NA
28024966247e8ecf3d30732b8e9cdcae,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,NA,NA
514ed1b297f9fe39d5070b09ee1b13ea,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
51a98975efff873c26d1d8bee067e38e,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
5eda57c7e770519b959d65f2efe47c42,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
144345c17062e5fce0380cd76162d62e,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
b09169355e9fbac447b8af949b195542,Bacteria,Bacteria,Verrucomicrobiota,NA,NA,NA,NA
081e21510d981e8be1cc40f3b6b6cdf3,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
c91b50a1560badfca4455917837b795f,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
2413ee4cc4fec2467f905d25f2205c42,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
6d319065973b92610ac84b5fbb2fc9d4,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
21d51a99865d8cfc851e9354a1fa80df,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
1ab9a7c7a5eef274741d163cac215a5a,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
9ce4f4a4c93dc9a4c1c8505b36c710b2,Bacteria,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus
